TC ID,구분,우선순위,화면·영역,테스트 시나리오,사전조건,수행 절차,기대 결과,실제 결과,결과,테스터,이슈번호
RISK-039,위험성평가,P1,보고서·개선조치,시설물 3상태,검수 작성 행 존재,한 행은 대장에서 시설물 지정 · 한 행은 [해당 없음] · 한 행은 그대로 두고 전달까지 진행,세 상태(지정 / 해당 없음 / 미지정)가 서로 구분되어 보이고 어느 것도 다음 단계를 막지 않는다. 작업 행동·화학물질처럼 시설물에 붙지 않는 요인이 정상이므로 지정은 필수가 아니다. 「해당 없음」과 「미지정」이 같은 표시로 합쳐지면 FAIL — 「봤는데 없다」와 「아직 안 봤다」가 구분되지 않는다.,,N/T,,
RISK-040,위험성평가,P1,보고서·개선조치,보고서 취소·재업로드,개선조치 행을 작성한 상태,[보고서 취소·재업로드] 클릭 > 확인 모달 문구 확인 > 실행 후 검수 표 확인,"실행 전에 사라질 범위를 부서 수·건수로 명시하고 확인을 받는다. 실행하면 보고서 첨부와 작성한 개선조치 내용이 함께 지워진다. 범위를 밝히지 않거나 확인 없이 지우면 FAIL. ⚠ 이 TC 는 앞서 작성한 개선조치를 실제로 지우므로, 수행 뒤 RISK-018 을 다시 해야 RISK-019 로 넘어갈 수 있다.",,N/T,,
RISK-019,위험성평가,P0,보고서·개선조치,조치기한 설정 및 부서 전달,개선조치 작성 완료,기한을 하나도 넣지 않고 전달 시도 > 일괄 기한 적용 후 일부 부서만 개별 수정 > 담당자는 비운 채 전달,"기한 미지정이면 미지정 부서 수를 세어 차단하고, 지정 후에는 각 부서에 개선조치가 배분되며 상태가 전달완료로 바뀐다. 담당자는 비워도 전달된다 — 그 부서가 나중에 지정한다.",,N/T,,
RISK-020,위험성평가,P1,보고서·개선조치,지적사항 없는 부서 처리,개선조치 0건 부서 존재,전달 실행 후 해당 부서 확인,0건 부서는 완료 처리되고 요약·완료율 분모에서 제외된다.,,N/T,,
RISK-021,위험성평가,P0,개선조치 (부서),완료 제출 필수값,하정수 권한 · 미완료 개선조치,조치내용만 입력하고 개선 후 사진 없이 완료 제출,완료가 차단되고 「개선 후 사진을 첨부해야 완료할 수 있습니다」가 안내된다.,,N/T,,
RISK-022,위험성평가,P0,개선조치 (부서),정상 완료 제출,미완료 개선조치,조치내용 + 개선 후 사진 + 완료 확인 서명 입력 > 완료,상태가 완료로 바뀌고 주관부서 확인 대기로 넘어간다.,,N/T,,
RISK-023,위험성평가,P0,개선조치,담당자·기한 변경,박안전 권한,담당자 또는 기한 변경 시 사유를 비운 채 저장 > 사유 입력 후 저장,"사유 없이는 저장되지 않고, 저장 시 변경 전후 값과 사유가 이력에 남는다.",,N/T,,
RISK-024,위험성평가,P1,개선조치,미제출 부서 재촉,미완료 부서 존재,재촉 실행 후 이력 확인,"재촉 버튼이 미완료 부서에만 있고, 발신자가 현재 접속자 소속으로 기록된다.",,N/T,,
RISK-025,위험성평가,P0,완료 확인,조치 완료 확인,부서 완료 제출 건,박안전 권한 > 체크 없이 [확인] 시도 > 증빙 열람 확인에 체크 > [확인],"체크 전에는 [확인] 버튼이 비활성이고, 체크해야 눌린다. 확인 후 상태가 바뀌고 요약·부서 카드에 즉시 반영된다.",,N/T,,
RISK-026,위험성평가,P0,완료 확인,반려 — 사유 필수,부서 완료 제출 건,사유 없이 반려 시도 > 사유 입력 후 반려,"사유 없이는 반려되지 않고, 반려 후 담당자 화면에 사유와 회차가 상시 표시된다.",,N/T,,
RISK-027,위험성평가,P0,완료 확인,반려 후 재제출,반려된 건,하정수 권한 > 반려 건 재제출,"반려 건이 담당자 '할 일'에 다시 뜨고, 재제출 시 확인 회차가 1 증가한다.",,N/T,,
RISK-028,위험성평가,P1,정기 위험성평가,이력 탭,파일 첨부·전달·확인·반려 각 1회 이상 수행,[이력] 탭 확인,생성·첨부·전달·확인·반려·변경 내역이 시간순으로 확인된다.,,N/T,,
RISK-029,위험성평가,P0,공문,기안 조건 검증,확인 대기 또는 반려 건 존재,[공문 기안] 시도,기안이 차단되고 남은 확인 대기·반려 건수가 사유로 표시된다.,,N/T,,
RISK-030,위험성평가,P0,공문,기안 → 미리보기 → 상신 순서,전 건 확인 완료,[공문 기안] > 본문 작성 > [문서 미리보기 →] > [온나라로 결재 상신] > 확인 > [상신],"기안 폼에는 상신 버튼이 없고, 상신은 미리보기 화면에서만 가능하며, 본문은 자동 생성되지 않고 삽입 칩으로만 제공된다. 상신 후 문서번호가 채번되어 저장되고 결재 이력·상태 표시에 나온다.",,N/T,,
RISK-031,위험성평가,P0,공문,결재선 3계정 정합,기안 폼,결재선 조직도를 열어 이미 지정된 사람과 기안자 본인의 표시를 확인 > 검토·결재를 같은 사람으로 지정 시도 > 한 칸을 비운 채 상신 시도,조직도에서 그 사람 행이 실제로 회색으로 흐려지고 사유(기안자/검토 지정됨/결재 지정됨)가 붙어 고를 수 없다. 상신도 차단되며 사유가 안내된다.,,N/T,,
RISK-038,위험성평가,P0,공문,결재 결과 회신 등록,상신 완료 공문,결재 상태 모달 진입 > 「결재 결과 회신 등록 — 연계 전 수동 기록」 확인 > 반려를 사유 없이 등록 시도 > 사유 입력 후 등록,"회신 등록이 자체 결재가 아니라 온나라 결과를 옮겨 적는 자리임을 화면이 밝히고, 단계·처리자가 그 문서 결재선에서 파생되며 사유 없는 반려는 등록되지 않는다.",,N/T,,
RISK-032,위험성평가,P0,수시 위험성평가,실시 사유 선택 후 등록 진입,등록 권한,[＋수시평가 등록] 클릭,"빈 폼이 아니라 법정 6종 실시 사유 선택이 먼저 열리고, 고른 사유가 등록 폼에 반영된다.",,N/T,,
RISK-033,위험성평가,P0,수시 위험성평가,등록 필수값 검증,등록 화면,부서/발생일/내용/유해위험요인·감소대책 중 하나씩 비운 채 등록,각 항목의 누락이 개별적으로 안내되고 저장이 차단된다.,,N/T,,
RISK-034,위험성평가,P0,수시 위험성평가,재해 사유 전용 필수 칸,등록 화면,실시 사유를 「중대산업사고 또는 산업재해 발생」으로 변경,재해 개요·작업 재개 예정일 칸이 추가로 나타나고 둘 다 필수로 검증된다. 사유 변경 시 기존 입력값이 보존된다.,,N/T,,
RISK-035,위험성평가,P0,수시 위험성평가,개선조치 연계,요인 행 입력 후 등록,등록 완료 > 담당자 개선조치 목록 확인,등록 폼에 적은 요인 행이 그대로 개선조치로 생성되어 담당자 화면에 뜬다.,,N/T,,
RISK-036,위험성평가,P0,수시 위험성평가,안전관리자 검토파일 등록,등록 완료 건,박안전 권한 > [＋검토파일 등록] > 파일명·검토자 이름을 각각 비운 채 저장 시도 > 채워서 저장 / 하정수 권한으로 동일 시도,"주관부서 담당자만 첨부할 수 있고, 파일명·검토자 이름은 둘 다 공백 불가이며, 첨부 즉시 상태가 검토 완료로 바뀐다. 부서 담당자에게는 안내가 뜬다.",,N/T,,
RISK-037,위험성평가,P0,수시 위험성평가,목록 조회·정합성,수시평가 2건 이상,연도 · 실시 사유 필터 적용 후 목록 ↔ 상세 대조,조건에 맞는 건만 노출되고 발생일·실시 사유·부서·개선조치·검토 상태가 상세와 일치한다.,,N/T,,
EDU-001,안전보건교육,P1,근로자 명단 관리,화면 진입 및 조회 필터,근로자 데이터 존재,안전보건교육 > 교육 현황·관리 > 근로자 명단 관리 진입 > 검색·부서·구분·고용형태·출처·채용연도 필터 적용,오류 없이 목록이 뜨고 조건에 맞는 근로자만 조회되며 결과 건수가 함께 갱신된다.,,N/T,,
EDU-002,안전보건교육,P0,근로자 명단 관리,근로자 정상 등록,등록 권한,이름/부서(조직도)/구분/고용형태/채용일/계약기간 입력 > 저장,근로자가 목록에 추가되고 입력값이 정확히 유지된다. (직무·업무투입일·퇴직일 항목은 없다),,N/T,,
EDU-003,안전보건교육,P0,근로자 명단 관리,필수값 검증,등록 화면,이름 / 채용일 / (구분=관리감독자) 지정일 / (고용형태=계약직) 계약기간을 각각 비운 채 저장,네 항목 모두 저장이 차단되고 누락 항목이 개별적으로 안내된다. 필수 표시(*)가 붙은 항목이 검증 없이 저장되면 FAIL. 계약기간은 0 이하도 차단된다 — 0으로 저장되면 채용시교육 필요시간이 8h가 아니라 1h로 잘못 판정되기 때문이다(EDU-023에서 드러난다).,,N/T,,
EDU-004,안전보건교육,P0,근로자 명단 관리,중복 등록 방지,동일 부서에 등록된 근로자 1명 이상,기존 근로자와 이름·부서·채용일·고용형태를 모두 동일하게 입력 > 저장 > 목록 및 이수현황 대상 인원 확인,중복 가능성을 경고하고 중복 생성을 막는 안내가 제공된다. 경고 없이 2건이 저장되면 FAIL — 같은 사람이 두 번 세어져 이수현황의 대상 인원과 부서별 완료율 분모가 부풀어진다.,,N/T,,
EDU-005,안전보건교육,P0,근로자 명단 관리,관리감독자 지정일 등록,구분=관리감독자 근로자,지정일이 비어 있는 상태 확인 > 미래 날짜로 저장 시도 > 오늘 이전 날짜로 등록 > 관리감독자 채용시교육 화면 확인,"지정일 미등록은 「미등록」으로 표시되고, 미래 날짜는 저장이 차단되며, 등록 후 그 사람만 판정 불가에서 벗어난다.",,N/T,,
EDU-006,안전보건교육,P1,근로자 명단 관리,정보 수정·삭제,기존 근로자,부서/고용형태 수정 > 저장 > 다른 1명 삭제,"수정값이 목록과 이수현황에 반영되고, 삭제는 확인 후에만 실행된다.",,N/T,,
EDU-007,안전보건교육,P1,근로자 명단 관리,엑셀 업로드,등록 권한,[📥 엑셀 업로드] > 대상 부서 선택 > 실행,"파일 선택은 미구현 안내가 뜨고, 선택 부서에 샘플 근로자가 추가된다(목업임이 화면에 표기된다).",,N/T,,
EDU-008,안전보건교육,P1,정기교육,탭 전환 및 조회,교육 실적 존재,안전보건교육 > 현업근로자 > 정기교육 진입 > [집합교육] ↔ [자체교육(부서)] 전환,두 탭이 오류 없이 전환되고 각 탭의 필터(검색·상태·연도·월·부서)와 목록이 정상 표시된다.,,N/T,,
EDU-009,안전보건교육,P0,집합교육 등록,정상 등록,박안전 권한,회차(일자·시작·종료 시각) / 강사 / 장소 / 내용 입력 > 저장,교육 카드가 생성되고 목록에 정확히 표시된다. (별도 '교육명'·'등록기한' 항목은 없고 내용이 제목 역할을 한다),,N/T,,
EDU-010,안전보건교육,P0,집합교육 등록,교육시간 자동 계산,등록 화면,시작·종료 시각 입력 > 회차 추가(최대 5일) > 시각 변경 > 종료를 시작보다 이르게 바꿔 저장 시도,"별도 교육시간 입력란 없이 회차 합계가 자동 산출되고, 다회차면 「외 N일」로 표기된다. 종료 ≤ 시작이면 그 회차 번호를 짚어 저장을 막는다.",,N/T,,
EDU-011,안전보건교육,P1,집합교육 등록,첨부 슬롯 확인,등록 화면,첨부 영역 확인,참석자 명단 · 교육 자료 2칸만 있고 교육 사진 칸은 없다(등록 시점은 실시 전).,,N/T,,
EDU-012,안전보건교육,P1,집합교육 상세,상세 진입,집합교육 1건,카드에서 상세 진입,교육 정보·신청현황·이력이 목록 값과 일치하고 [＋참석자 등록부 등록]·[교육 종료 처리]가 노출된다.,,N/T,,
EDU-013,안전보건교육,P0,참석자 등록부,정상 등록,대상 부서 근로자 2명 이상,부서 선택 > 근로자 다중 선택 > 실제 참석시간 입력 > 서명파일 첨부 > 신청 완료,부서 단위 등록부가 생성되고 신청 인원·부서 수에 반영된다. (참석시간은 선택 인원 전체 공통이며 개인별 조정은 없다),,N/T,,
EDU-014,안전보건교육,P0,참석자 등록부,필수값·상한 검증,등록 모달,근로자 미선택 / 서명파일 미첨부 / 참석시간을 교육 예정시간보다 크게 입력하여 각각 저장 시도,세 경우 모두 저장이 차단되고 사유가 개별 안내된다.,,N/T,,
EDU-015,안전보건교육,P0,참석자 등록부,같은 부서 중복 등록 차단,이미 등록한 부서 존재,같은 부서로 다시 등록 시도,저장이 거절되고 「신청 취소 후 다시 등록」 경로가 안내된다. 인원·부서 수가 부풀지 않는다.,,N/T,,
EDU-016,안전보건교육,P0,참석자 등록부,등록 취소,등록부 존재 (종료 전),부서 행에서 등록 취소,확인 후 신청 내역과 서명파일이 제거되고 신청 인원 수가 줄어든다.,,N/T,,
EDU-017,안전보건교육,P0,집합교육 상세,교육 종료 처리 → 이수기록 생성,참석자 등록부 1건 이상,[교육 종료 처리] > 확인,"신청 부서·인원 수가 확인 모달에 표시되고, 종료 후 상태가 완료로 바뀌며 신청자 전원의 이수기록이 생성된다.",,N/T,,
EDU-018,안전보건교육,P0,집합교육 상세,종료 후 정정,종료 처리된 교육,부서 행에서 정정(등록 취소) > 사유 없이 저장 시도 > 사유 입력 후 저장,"사유 없이는 저장되지 않고, 저장 시 원 등록부는 보존된 채 취소 이력이 남으며 해당 이수기록만 집계에서 빠진다.",,N/T,,
EDU-019,안전보건교육,P1,집합교육,교육 수정·삭제,기존 교육,일정/시간 수정 > 저장 > 다른 1건 삭제,"변경이 목록·상세에 반영되고, 시간 변경 시 이미 쌓인 이수기록의 인정시간도 함께 갱신된다.",,N/T,,
EDU-020,안전보건교육,P0,자체교육,정상 등록,부서 담당자 권한,부서·대상자·교육내용을 각각 비운 채 저장 시도 > 부서 선택 > 회차·강사·장소·내용 입력 > 대상자 다중 선택 > 증빙 첨부 > 저장,"세 항목 모두 누락이 개별 안내되고(대상자는 「1명 이상」), 채우면 자체교육 실적이 생성되고 선택 인원 전원의 이수현황에 반영된다.",,N/T,,
EDU-021,안전보건교육,P1,자체교육,첨부 슬롯 확인,등록 화면,첨부 영역 확인,「교육일지 및 교육사진 등」 1칸만 있다(실시 후 기록이라 한 파일로 온다).,,N/T,,
EDU-022,안전보건교육,P0,채용시교육,대상자 자동 노출,신규 근로자 등록 완료,현업근로자 > 채용시교육 진입 > [전체]/[미이수]/[이수] 탭 확인,신규 근로자가 미이수 탭에 노출되고 채용일이 명단과 일치한다. 탭별 건수 배지가 맞다.,,N/T,,
EDU-023,안전보건교육,P0,채용시교육,필요시간·상태 정합성,고용형태가 다른 대상자 2명 이상,목록의 필요시간·상태 확인,"고용형태별 법정 필요시간(1·4·8h)이 정확하고, 상태가 미이수 / 정상 이수 / 지연 이수 / 판정 불가로 구분된다.",,N/T,,
EDU-024,안전보건교육,P0,채용시교육,이수 등록 → 상태 전환,미이수 대상자,대상자 선택 > [선택 교육기록 등록] 또는 [＋채용시 교육 추가] > 교육일·시간 입력 > 저장,"이수 탭으로 이동하고, 이수일이 기준일 이전이면 정상 이수, 이후면 지연 이수로 표시된다.",,N/T,,
EDU-025,안전보건교육,P0,채용시교육,이수 수정·회수,이수 처리된 대상자,[이수 수정] > 값 변경 > 저장 > 다시 열어 회수(삭제) 실행,"수정값이 이수현황에 반영되고, 회수 시 회수되는 이수시간·건수가 확인 모달에 명시된다.",,N/T,,
EDU-026,안전보건교육,P0,관리감독자 교육,지정일 기준 판정,관리감독자 근로자,관리감독자 > 채용시교육 진입 > 지정일 미등록/등록 각각 확인,"지정일 미등록자는 미이수·이수 어느 탭에도 들어가지 않고 판정 불가로 분리되며, 「전체 = 미이수 + 이수 + 판정 불가」임을 화면이 밝힌다.",,N/T,,
EDU-027,안전보건교육,P1,관리감독자 교육,정기·기타 화면 동작,관리감독자 데이터,관리감독자 > 정기교육 / 기타 교육 각각 진입 후 1건 등록,"현업근로자 화면과 같은 흐름으로 동작하고, 등록 대상자가 관리감독자로만 한정된다.",,N/T,,
EDU-028,안전보건교육,P0,기타교육,유형별 법정 최소시간,등록 화면,현업근로자 > 기타 교육 > 유형 선택 후 시간 입력,"유형별 법정 최소 교육시간과 근거가 함께 표시되고, 미달이어도 등록은 되되 미달 사실이 드러난다.",,N/T,,
EDU-029,안전보건교육,P0,기타교육,근로자 / 관리감독자 유형 목록 차이,두 화면 모두 접근 가능,현업근로자 기타교육과 관리감독자 기타교육의 유형 셀렉트를 비교,"목록이 서로 다르고, 특히 「건설업 기초안전보건교육」이 관리감독자 화면에는 없다.",,N/T,,
EDU-030,안전보건교육,P0,기타교육,특별교육 대상작업 선택,유형=특별교육,대상작업을 고르지 않고 저장 시도 > 복수 선택 후 저장,"대상작업 없이는 저장되지 않고, 복수 선택이 가능하며 목록에 없는 사례는 사유와 함께 등록할 수 있다.",,N/T,,
EDU-031,안전보건교육,P0,이수현황 (부서별 요약),집계 정합성,복수 부서 실적,부서별 대상 인원·완료 인원·완료율을 [상세]에서 본 대상자별 목록과 대조,"부서별 수치가 대상자별 상세와 일치하고, 대상 0명 부서는 0%가 아니라 「대상 없음」으로 표시된다.",,N/T,,
EDU-032,안전보건교육,P0,이수현황 (대상자별),필요·인정·미달 계산,집합+자체 실적이 모두 있는 근로자,필요시간 − 인정시간을 직접 계산해 화면의 「미달」과 대조,"인정시간이 집합·자체 실적의 합과 같고, 미달이 정확하며 음수로 표시되지 않는다.",,N/T,,
EDU-033,안전보건교육,P1,이수현황 (대상자별),다중 조회조건,복수 부서/고용형태/상태,부서 + 구분 + 고용형태 + 이수 상태(미이수/기준일 미등록/기한초과/마감 임박/완료) 조합 적용,"모든 조건을 만족하는 근로자만 조회되고, 집계 모집단 배지가 조건과 함께 갱신된다.",,N/T,,
EDU-034,안전보건교육,P0,이수현황,조회 범위 격리,부서 담당자 페르소나,하정수로 전환 > 다른 부서 [상세] 시도,남의 부서 개인 명단은 열리지 않고 안내가 뜬다(딥링크로도 동일).,,N/T,,
EDU-035,안전보건교육,P1,이수현황,일괄 독촉·독촉 이력,미이수자 2명 이상,대상 체크 > [일괄 독촉] > [📜 독촉 이력],"선택 인원이 부서별로 묶여 기록되고, 이력에 일시·부서·인원·대상자·발신자가 남는다.",,N/T,,
EDU-036,안전보건교육,P1,이수현황,이수 확인서 발급,완료 대상자,확인서 [발급] 클릭,보고서·제증명 화면으로 이동하거나 미구현 안내가 뜬다(성공했다고 말하지 않는다).,,N/T,,
EDU-037,안전보건교육,P0,공문,기안 조건,종료 처리 전/후 교육 각 1건,각각 [공문 기안] 시도,"종료 처리된 교육만 기안할 수 있고, 진행 중인 교육은 사유가 안내된다. 이수율은 기안 조건이 아니다.",,N/T,,
EDU-038,안전보건교육,P0,공문,기안 → 미리보기 → 상신 순서,종료 처리된 교육,[공문 기안] > 제목·본문을 각각 비운 채 미리보기 시도 > 본문 직접 작성 · 삽입 칩 사용 > 붙임 선택 > [문서 미리보기 →] > [온나라로 결재 상신] > 확인 > [상신],"기안 폼에 상신 버튼이 없고, 본문은 자동 생성되지 않으며, 붙임은 이미 올린 파일에서만 고른다. 이수자 명단은 별지로 생성된다. 제목·본문은 공백 불가다. 상신 후 문서번호가 채번되어 저장된다.",,N/T,,
EDU-039,안전보건교육,P0,공문,기안 권한,자체교육을 등록한 부서 담당자,하정수로 전환 후 자기 부서 교육의 [공문 기안] 확인 / 다른 부서 교육 확인,"자기 부서가 등록한 교육은 기안할 수 있고, 그 밖에는 버튼 대신 누가 기안하는지가 안내된다.",,N/T,,
EDU-040,안전보건교육,P0,공문,상신 후 잠금,상신 완료 교육,교육 수정 · 삭제 · 참석자 등록부 취소를 각각 시도,"세 경로 모두 차단되고 잠금 사유(결재중)가 안내되며, 버튼도 잠금 표시로 바뀐다.",,N/T,,
EDU-041,안전보건교육,P0,결재 이력,상신 이력 조회,상신 1건 이상,안전보건교육 > 교육 현황·관리 > 결재 이력 진입 > 검색어·상태·상신연도 필터 적용 > 문서번호 확인,방금 상신한 문서가 저장된 문서번호와 함께 목록에 있고 열어 볼 수 있다. 필터 선택지는 목록에 실재하는 값만 나온다. 교육 도메인은 결재 결과를 받지 않으므로 상태가 「결재중」 하나이고 진행은 온나라에서 문서번호로 확인한다고 안내된다. (다른 도메인은 회신을 받는다 — §4.4 ⑤),,N/T,,
COM-001,공통 UX,P0,공통,권한 전환 반영,페르소나 2종 이상,우측 상단 사용자 칩 > 페르소나 변경 > 위험성평가·교육 화면 재진입,선택 권한이 헤더·GNB·본문에 반영되고 메뉴/액션/조회범위가 함께 바뀐다.,,N/T,,
COM-002,공통 UX,P0,공통,조회 범위 일관성,부서 담당자 페르소나,하정수로 위험성평가·수시평가·개선조치·이수현황·내 할일 5화면 순회,"다섯 화면 모두 자기 부서 건만 보이고, 부서 필터 드롭다운에도 남의 부서가 없다.",,N/T,,
COM-003,공통 UX,P1,공통,뒤로가기/새로고침,상세 화면 진입,등록 > 새로고침 > 뒤로가기,오류 없이 복귀하고 같은 브라우저에서 저장값이 유지된다.,,N/T,,
COM-004,공통 UX,P0,공통,필수값 오류 가시성,필수 입력폼 3종 이상,각 폼에서 필수값 누락 후 저장,어떤 항목이 비었는지 문장으로 안내되고 모달 입력값이 초기화되지 않는다.,,N/T,,
COM-005,공통 UX,P1,공통,첨부 등록/삭제/재등록,첨부 기능 화면,파일 선택 > 목록 확인 > 삭제 > 다른 파일 재등록,파일명·용량이 정확히 갱신되고 잔존 항목이 남지 않는다. (실제 파일 저장은 없다),,N/T,,
COM-006,공통 UX,P0,공통,미구현 안내 문구,다운로드·뷰어 기능,양식 다운로드 / 문서 열기 / 파일 선택 등을 실행,"「○○는 △△ 후 제공됩니다」로 안내되고, 저장되지 않았는데 성공 문구가 뜨는 곳이 없다.",,N/T,,
COM-007,공통 UX,P1,공통,조회조건 초기화,교육 화면 필터 2개 이상 적용,필터 적용 > [필터 초기화],"적용 중인 조건 개수 배지가 맞고, 초기화 시 전체 목록으로 복귀한다.",,N/T,,
COM-008,공통 UX,P0,공통,목록-상세 데이터 일치,목록 데이터 존재,목록 주요값 확인 > 상세 진입,부서/대상/상태/담당자/기한 등 핵심값이 목록과 상세에서 일치한다.,,N/T,,
COM-009,공통 UX,P1,공통,상태 배지 일관성,동일 상태가 여러 화면에 노출,완료/진행중/기한초과/반려 상태를 3화면 이상에서 비교,"같은 상태는 동일한 명칭과 색으로 표현되고, 회색(중립)으로 떨어진 라벨이 없다.",,N/T,,
COM-010,공통 UX,P0,공통,취소/이탈 시 미저장 데이터,신규 입력 화면,값 입력 > 저장 없이 [취소] 또는 다른 메뉴 이동,의도치 않은 저장이 없고 모달이 잔류하지 않는다.,,N/T,,
COM-011,공통 UX,P1,공통,해상도 축소 시 레이아웃,PC 브라우저,폭을 1280 → 1024 → 768 → 560px 순으로 축소,"각 구간에서 표·필터·버튼이 겹치지 않고, 표는 가로 스크롤 안에서 처리되며 페이지 자체는 가로 스크롤이 없다.",,N/T,,
COM-012,공통 UX,P1,공통,예시 데이터 되돌리기,데이터 변경 후,헤더 [?] > 도움말 시트 > [예시 데이터 되돌리기],확인 후 초기 상태로 복귀하고 화면·단계별 안내가 함께 초기화된다.,,N/T,,
COM-013,공통 UX,P0,공통 (상신 권한),관리·감독 계층의 상신 차단,상신 가능한 데이터,홍길동(과장)으로 전환 > 예산 총괄표 · 경영방침 · 의견청취 점검결과지 · 인력 평가 · 이행점검 반기 마감 · 전자문서 폼 확정 6곳에서 상신 시도,여섯 곳 모두 상신 버튼이 나오지 않고 「상신은 담당자가 합니다 — 관리·감독 계층은 조회만 합니다」가 뜬다. 전역 호출로도 뚫리지 않는다. 같은 화면의 다른 등록·수정 버튼이 보이는 것은 정상이다.,,N/T,,
